City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,sinabang,2.4803,96.3801,300.41,80,55,0.64,ID,1706492380
161,hermanus,-34.4187,19.2345,292.48,79,98,2.1,ZA,1706492381
162,sam roi yot,12.2708,99.872,298.14,64,31,1.04,TH,1706492382
163,anar darah,32.7587,61.654,283.33,47,0,2.63,AF,1706492383
164,newman,37.3138,-121.0208,291.14,72,56,0.61,US,1706492384
165,jertih,5.7336,102.4897,297.5,90,95,3.02,MY,1706492385
166,zhangjiajie,29.1294,110.4783,281.2,73,97,1.26,CN,1706492385
167,gizo,-8.103,156.8419,299.07,88,100,5.16,SB,1706492386
168,waddan,29.1614,16.139,283.1,83,0,3.38,LY,1706492387
169,buxton,53.2574,-1.9098,282.83,97,100,3.11,GB,1706492388
170,bam,29.106,58.357,284.29,49,70,0.19,IR,1706492390
171,ga-kgapane,-23.6333,30.2167,293.04,69,77,1.17,ZA,1706492391
172,nouadhibou,20.931,-17.0347,294.14,37,0,5.14,MR,1706492391
173,saint-francois,46.4154,3.9054,277.95,87,0,1.54,FR,1706492392
174,haiku-pauwela,20.9219,-156.3051,299.28,70,40,12.35,US,1706492393
175,victoria point,-27.5833,153.3,303.12,81,100,1.79,AU,1706492394
176,port blair,11.6667,92.75,299.17,94,75,1.03,IN,1706492395
177,coquimbo,-29.9533,-71.3436,291.0,88,40,4.12,CL,1706492396
178,gangtok,27.3333,88.6167,279.94,51,84,0.7,IN,1706491812
179,kayangel,8.0823,134.7173,300.56,82,97,11.39,PW,1706492397
180,tual,-5.6667,132.75,301.86,75,69,7.16,ID,1706492398
181,lu-uk,5.9684,121.3122,301.21,70,61,2.87,PH,1706492399
182,puerto maldonado,-12.6,-69.1833,296.62,97,57,0.77,PE,1706492400
183,san elizario,31.5851,-106.2728,288.75,34,75,2.06,US,1706492403
184,ulanhot,46.0833,122.0833,254.82,60,0,2.1,CN,1706492404
185,n'dalatando,-9.2978,14.9116,293.62,99,99,0.99,AO,1706492405
186,pudasjarvi,65.3833,26.9167,273.89,92,100,5.79,FI,1706492406
187,tura,25.5198,90.2201,288.41,55,1,0.81,IN,1706492407
188,kafir qala,34.6667,61.0667,278.02,86,0,3.82,AF,1706492409
189,san vicente,-26.6167,-54.1333,290.76,77,46,1.27,AR,1706492409
190,monjaras,13.2006,-87.3742,302.31,50,69,0.81,HN,1706492410
191,preobrazheniye,42.9019,133.9064,270.65,48,0,1.34,RU,1706492411
192,fort irwin,35.2627,-116.6848,291.89,37,0,2.06,US,1706492412
193,seaford,50.7714,0.1027,282.98,79,100,0.45,GB,1706492413
194,mount gambier,-37.8333,140.7667,297.66,47,0,4.31,AU,1706492414
195,mumbwa,-14.9783,27.0619,289.89,84,23,1.14,ZM,1706492415
196,saipan,15.1355,145.701,301.54,57,40,9.26,MP,1706492403
197,carnarvon,-24.8667,113.6333,299.32,60,0,7.84,AU,1706492417
198,alaghsas,17.0187,8.0168,290.26,22,0,4.99,NE,1706492418
199,st. john's,47.5649,-52.7093,272.41,82,100,6.69,CA,1706492344
200,axams,47.2081,11.2869,273.18,93,2,1.54,AT,1706492419
201,jayapura,-2.5333,140.7,301.81,65,93,1.58,ID,1706492420
202,oranjemund,-28.55,16.4333,290.82,88,11,2.28,NA,1706492422
203,najran,17.4924,44.1277,289.51,61,73,1.05,SA,1706492423
204,rikaze,29.25,88.8833,268.2,51,0,1.34,CN,1706492423
